cliente_id,mes,asignados,vistos,aceptados,completados
202975.0,2022-08,1,0,0,0
202975.0,2022-10,1,1,1,0
202975.0,2022-11,3,0,0,0
202975.0,2022-12,1,0,0,0
202975.0,2023-01,1,1,1,0
202975.0,2023-02,2,2,2,0
202975.0,2023-03,1,0,0,0
202975.0,2023-04,2,2,2,1
202975.0,2023-05,1,1,1,0
202975.0,2023-06,4,3,2,1
202975.0,2023-07,1,0,0,0
202975.0,2023-08,1,0,1,0
202975.0,2023-09,2,0,0,0
202975.0,2023-10,1,0,0,0
203693.0,2022-08,1,1,1,0
203693.0,2022-11,2,2,2,0
203693.0,2022-12,1,1,1,0
203693.0,2023-01,1,1,0,0
203693.0,2023-02,1,1,1,0
203693.0,2023-03,1,1,1,0
203693.0,2023-04,2,2,2,0
203693.0,2023-05,1,1,1,0
203693.0,2023-06,4,3,3,1
203693.0,2023-07,3,2,2,1
203693.0,2023-08,3,3,3,0
203693.0,2023-09,2,2,2,0
203693.0,2023-10,2,2,2,0
203797.0,2022-08,1,1,0,0
203797.0,2022-09,1,0,0,0
203797.0,2022-10,1,0,0,0
203797.0,2022-11,3,0,0,0
203797.0,2022-12,1,1,1,0
203797.0,2023-01,1,0,0,0
203797.0,2023-02,2,0,0,0
203797.0,2023-03,1,0,0,0
203797.0,2023-04,2,0,0,0
203797.0,2023-05,1,1,1,0
203797.0,2023-06,1,0,0,0
203797.0,2023-07,1,1,1,0
203797.0,2023-08,4,4,4,1
203797.0,2023-09,1,1,1,1
203797.0,2023-10,2,1,1,1
206767.0,2022-08,1,0,0,0
206767.0,2022-09,1,0,0,0
206767.0,2022-10,1,0,0,0
206767.0,2022-11,3,0,0,0
206767.0,2022-12,1,0,0,0
206767.0,2023-01,1,0,0,0
206767.0,2023-02,2,2,2,0
206767.0,2023-04,2,0,0,0
206767.0,2023-06,2,0,0,0
218421.0,2022-08,1,1,1,0
218421.0,2022-10,1,1,1,0
218421.0,2022-11,3,1,1,0
218421.0,2022-12,1,1,1,1
218421.0,2023-02,1,1,1,0
218421.0,2023-03,1,1,1,0
218421.0,2023-04,2,2,2,0
218421.0,2023-05,1,1,1,0
218421.0,2023-06,3,3,3,3
218421.0,2023-07,3,2,3,0
218421.0,2023-08,3,3,3,1
218421.0,2023-09,2,2,2,0
218421.0,2023-10,2,2,2,1
222453.0,2023-07,1,1,1,0
222453.0,2023-08,1,0,0,0
222453.0,2023-10,1,0,0,0
223179.0,2022-08,1,1,1,0
223179.0,2022-09,1,0,0,0
223179.0,2022-10,1,0,0,0
223179.0,2022-11,3,0,0,0
223179.0,2022-12,1,1,0,0
223179.0,2023-01,1,0,0,0
223179.0,2023-02,2,0,0,0
223179.0,2023-03,1,0,0,0
223179.0,2023-06,1,1,1,0
223179.0,2023-07,3,0,0,0
223179.0,2023-08,1,1,1,0
223179.0,2023-09,1,1,1,1
223179.0,2023-10,1,0,0,0
223181.0,2022-08,1,0,0,0
223181.0,2022-09,1,0,0,0
223181.0,2022-10,1,0,0,0
223181.0,2022-11,3,0,0,0
223181.0,2022-12,1,1,1,0
223181.0,2023-01,1,0,0,0
223181.0,2023-02,1,0,0,0
223181.0,2023-03,1,0,0,0
223181.0,2023-04,2,0,0,0
223181.0,2023-05,1,0,0,0
223181.0,2023-06,3,0,0,0
223181.0,2023-07,3,0,0,0
223181.0,2023-08,3,1,1,0
223181.0,2023-09,1,0,0,0
223181.0,2023-10,1,0,0,0
226191.0,2022-08,1,1,1,0
226191.0,2022-09,1,0,0,0
226191.0,2022-10,1,0,0,0
226191.0,2022-11,3,0,0,0
226191.0,2022-12,1,1,1,0
226191.0,2023-02,2,2,2,0
226191.0,2023-03,1,1,1,0
226191.0,2023-04,2,2,2,0
226191.0,2023-05,2,2,2,0
226191.0,2023-06,4,4,4,1
226191.0,2023-07,3,3,3,1
226191.0,2023-08,3,2,2,0
226191.0,2023-09,2,2,2,0
226191.0,2023-10,2,0,0,0
229283.0,2022-08,1,0,0,0
229283.0,2022-09,1,1,1,0
229283.0,2022-10,1,0,0,0
229283.0,2022-11,3,0,0,0
229283.0,2022-12,1,0,0,0
229283.0,2023-01,1,1,0,0
229283.0,2023-02,2,0,0,0
229283.0,2023-03,1,1,1,0
229283.0,2023-04,2,0,0,0
229283.0,2023-06,3,3,3,0
229283.0,2023-07,3,0,0,0
229283.0,2023-08,3,0,0,0
229283.0,2023-09,1,1,1,1
229283.0,2023-10,1,0,0,0
230077.0,2022-08,1,0,0,0
230077.0,2022-09,1,0,0,0
230077.0,2022-10,1,0,0,0
230077.0,2022-11,3,0,0,0
230077.0,2022-12,1,0,0,0
230077.0,2023-01,1,1,1,0
230077.0,2023-02,2,2,2,0
230077.0,2023-03,1,0,0,0
230077.0,2023-04,2,1,1,0
230077.0,2023-05,1,1,1,0
230077.0,2023-06,3,2,2,2
230077.0,2023-07,3,0,0,0
230077.0,2023-08,3,1,1,1
230077.0,2023-09,2,1,1,0
230077.0,2023-10,2,0,0,0
231769.0,2022-08,1,0,0,0
231769.0,2022-09,1,0,0,0
231769.0,2022-10,1,0,0,0
231769.0,2022-11,3,0,0,0
231769.0,2022-12,1,0,0,0
231769.0,2023-01,1,0,0,0
231769.0,2023-02,2,0,0,0
231769.0,2023-03,1,0,0,0
231769.0,2023-04,2,0,0,0
235701.0,2022-08,1,1,1,0
235701.0,2022-09,1,0,0,0
235701.0,2022-10,1,0,0,0
235701.0,2022-11,3,0,0,0
235701.0,2022-12,1,0,0,0
235701.0,2023-01,1,0,0,0
235701.0,2023-02,2,2,2,0
235701.0,2023-03,1,0,0,0
235701.0,2023-04,2,0,0,0
235701.0,2023-05,1,1,1,0
235701.0,2023-06,4,0,0,0
235701.0,2023-07,3,0,0,0
235937.0,2022-08,1,0,0,0
235937.0,2022-10,1,1,1,0
235937.0,2022-11,3,1,1,0
235937.0,2022-12,1,1,1,0
