cliente_id,mes,transacciones,volumen,bultos,productos_unicos,marcas_unicas,mix_latas,mix_retornable,mix_premium,bultos_por_transaccion
119251,2022-11,4,3.14,37.0,24,9,47.74,21.45,53.71,9.25
119251,2022-12,5,2.04,26.0,12,7,46.36,21.93,41.83,5.2
119251,2023-01,7,6.42,82.0,20,8,73.99,11.97,31.09,11.71
119251,2023-02,4,5.48,57.0,18,9,79.18,13.82,11.49,14.25
119251,2023-03,5,4.07,40.0,18,7,86.11,11.77,13.08,8.0
119251,2023-04,2,0.86,10.0,9,7,52.6,18.9,28.5,5.0
119251,2023-05,2,2.09,25.0,10,6,41.18,46.6,16.18,12.5
119251,2023-06,3,1.48,19.0,11,7,57.5,22.12,17.28,6.33
119251,2023-07,2,0.38,4.0,4,4,56.49,43.51,0.0,2.0
119251,2023-08,4,1.09,11.0,6,5,81.63,0.0,14.48,2.75
119251,2023-09,4,4.81,44.0,24,11,52.59,43.15,15.05,11.0
119251,2023-10,4,2.14,21.0,13,8,55.03,44.97,8.13,5.25
181737,2022-11,1,0.08,1.0,1,1,0.0,100.0,0.0,1.0
181737,2022-12,3,0.52,5.0,3,2,0.0,100.0,0.0,1.67
181737,2023-01,3,0.48,5.0,4,3,0.0,100.0,0.0,1.67
181737,2023-02,3,1.22,14.0,7,5,37.12,59.64,3.24,4.67
181737,2023-03,1,0.24,2.0,1,1,0.0,100.0,0.0,2.0
181737,2023-05,3,0.92,9.0,6,3,21.21,78.79,0.0,3.0
181737,2023-06,2,0.65,8.0,5,2,13.16,86.84,0.0,4.0
181737,2023-07,1,0.18,3.0,2,2,32.11,67.89,0.0,3.0
181737,2023-08,3,1.35,14.0,6,5,82.18,17.82,2.11,4.67
181737,2023-09,2,0.51,5.0,4,3,5.58,94.42,0.0,2.5
181737,2023-10,2,0.57,7.0,5,5,15.07,84.93,5.02,3.5
181871,2022-11,3,1.6,18.0,5,4,24.87,75.13,0.0,6.0
181871,2023-01,2,0.9,14.0,3,2,46.89,53.11,0.0,7.0
181871,2023-02,2,0.94,8.0,2,2,10.49,89.51,0.0,4.0
181871,2023-03,2,0.93,10.0,3,2,9.2,90.8,0.0,5.0
181871,2023-05,1,0.36,3.0,1,1,0.0,100.0,0.0,3.0
181871,2023-07,1,0.48,4.0,1,1,0.0,100.0,0.0,4.0
181871,2023-10,1,0.36,3.33,2,2,0.0,100.0,0.0,3.33
183637,2022-11,7,2.8,42.0,21,8,14.33,76.66,10.76,6.0
183637,2022-12,8,2.58,42.0,22,8,16.63,75.32,16.54,5.25
183637,2023-01,6,1.27,27.0,16,6,22.64,64.23,17.0,4.5
183637,2023-02,6,1.66,26.0,14,10,7.27,85.34,10.34,4.33
183637,2023-03,8,2.37,36.0,16,8,8.78,85.85,8.48,4.5
183637,2023-04,7,1.75,26.0,12,10,10.71,88.16,9.22,3.71
183637,2023-05,6,1.55,24.0,10,7,10.95,83.68,5.37,4.0
183637,2023-06,6,1.2,17.0,12,9,11.81,81.1,9.45,2.83
183637,2023-07,6,0.87,13.0,8,7,9.31,88.43,2.27,2.17
